5_3_exonuclease_1bgxt 5_3_exonuclease_1xo1a
MutS_D2_1ewqa MutS_D2_1e3ma
MutS_D3_1ewqa MutS_D3_1e3ma
MutS_N_1ewqa MutS_N_1e3ma
MutS_NC_1ewqa MutS_NC_1e3ma
mutT_1tum mutT_1f3ya
myb_DNA-binding_1msfc1 myb_DNA-binding_1ba5
mycin_1noa mycin_1akp
MYSc_1vom MYSc_1b7ta
N6_N4_Mtase_1boo N6_N4_Mtase_1eg2a
NADHdh_2_1d4aa NADHdh_2_1qr2a
ndk_1nueA ndk_1nlkR
neur_chan_memb_1eq8a neur_chan_memb_1dxza
neurotox_1chl neurotox_1pnh
ngf_1bndb ngf_1b98m
NHase_alpha_2ahja NHase_alpha_1irea
NHase_beta_2ahjb NHase_beta_1ireb
NiFeSe_Hases_2frvb NiFeSe_Hases_1frfl
nir_1aoqa nir_1nira
Nitrophorin_1erxa Nitrophorin_1euoa
Nitroreductase_1bkja Nitroreductase_1nox
NMT_1nmta NMT_2nmta
NO_synthase_4nosa NO_synthase_1ed5a
NTP_transf_2_1fa0a NTP_transf_2_1f5aa
NTP_transf_2_2_1fa0b NTP_transf_2_2_1f5aa
NTP_transf_2_N2_1fa0a NTP_transf_2_N2_1f5aa
NTP_transferase_1g97a NTP_transferase_1iina
NusB_1eyva NusB_1ey1a
oat_2oata oat_1gtxa
OMPdecase_1dbta OMPdecase_1dqwa
Orbi_VP7_1ahsa Orbi_VP7_1bvp1
Orn_Arg_deC_N_1f3ta Orn_Arg_deC_N_7odca
Orn_Arg_deC_NC_1f3ta Orn_Arg_deC_NC_7odca
Orn_DAP_Arg_deC_7odca Orn_DAP_Arg_deC_1f3ta
OTCace_3csua OTCace_1otha
oxidored_FMN_1oyc oxidored_FMN_2tmda
oxidored_q6_1frfs oxidored_q6_1cc1s
P_1ps2 P_2pspa1
P-II_2gnka P-II_2pii
p450_1n97a p450_1e9xa
P53_1aie P53_1a1ua
PA_phosphatase_1utea PA_phosphatase_4kbpa
PABP_1g9la PABP_1i2ta
PAC_1g28a PAC_1byw
PAF-AH_1wab PAF-AH_1fxwf
PAH_1e91a PAH_1g1eb
PAN_1bhta PAN_1hkya
PAP2_1qi9a PAP2_1qhba
PARATHYROID_1zwg PARATHYROID_1bzg
PARP_1efya PARP_1gs0a
PARP_reg_1efya PARP_reg_1gs0a
parv_1rtp1 parv_1a75a
Parvo_coat2_4dpvz Parvo_coat2_1mvma
PAS_1d06a PAS_3pyp
PAX_6paxa PAX_1pdnc
PBD_1f3ma PBD_1ej5a
PBP_1beha PBP_1qoua
PBP_C1_1k25a PBP_C1_1qmea
PBP_C2_1k25a PBP_C2_1qmea
PBP_GOBP_1dqea PBP_GOBP_1c3za
PBP_NC_1k25a PBP_NC_1qmea
pcd_3pcgm pcd_3pcga
PCI_1_1tih PCI_1_4sgbi
PCMT_1jg1a PCMT_1dl5a
PCNA_1axca PCNA_1plq
pdc_1pvda pdc_1zpda
PDGF_1fltv PDGF_1pdga
PDZ_1be9a PDZ_1kwaa
pec_lyase_2bspa pec_lyase_1qcxa
Pectinesterase_1qjva Pectinesterase_1gq8a
Penicil_amidase_1e3aa Penicil_amidase_1fm2a
pentraxin_1b09a pentraxin_1saca
PEP-utilizers_1h6za PEP-utilizers_1zyma
PEP-utilizers_C_1kbla PEP-utilizers_C_1h6za
PEP-utilizers_NC_1kbla PEP-utilizers_NC_1h6za
Pep_deformylase_1g2aa Pep_deformylase_1jyma
PEPCK_ATP_1ayl PEPCK_ATP_1ii2a
Pept_C1-like_1cb5a Pept_C1-like_1gcb
Peptidase_A6_2bbva Peptidase_A6_1nova
Peptidase_C15_1auga Peptidase_C15_1a2za
Peptidase_C2_1kful Peptidase_C2_1kxra
Peptidase_C2_D1_1kful Peptidase_C2_D1_1kxra
Peptidase_C2_D2_1kxra Peptidase_C2_D2_1kful
Peptidase_M10A_1kapp Peptidase_M10A_1sat
Peptidase_M16_1bgya Peptidase_M16_1bgyb
Peptidase_M17_1gyta Peptidase_M17_1lam
Peptidase_M17_N_1gyta Peptidase_M17_N_1lam
Peptidase_M24_2mata Peptidase_M24_1chma
Peptidase_M27_1epwa Peptidase_M27_3btaa
Peptidase_S11_1skf Peptidase_S11_1hd8a
Peptidase_S15_1ju3a Peptidase_S15_1lnsa
Peptidase_S15_C_1ju3a Peptidase_S15_C_1lnsa
Peptidase_S15_N_1ju3a Peptidase_S15_N_1lnsa
Peptidase_S21_1wpoa Peptidase_S21_1vzv
Peptidase_S24_1umua Peptidase_S24_1f39a
Peptidase_S9_1h2wa Peptidase_S9_1n1ma
Peripla_BP_2_1efdn Peripla_BP_2_1n2za
peroxidase_1qpaa peroxidase_2cyp
Pertussis_S2S3_1bcpc Pertussis_S2S3_1bcpb
Pertussis_S2S3_N_1bcpc Pertussis_S2S3_N_1bcpb
Pertussis_S2S3_NC_1bcpc Pertussis_S2S3_NC_1bcpb
PGAM_1fbta PGAM_1qhfa
PGI_1dqra PGI_2pgi
pgk_1qpg pgk_1vpe
PGM_PMM_3pmga PGM_PMM_1kfqa
PGM_PMM_I_3pmga PGM_PMM_I_1kfqa
PGM_PMM_II_3pmga PGM_PMM_II_1kfqa
PGM_PMM_III_3pmga PGM_PMM_III_1kfqa
PGM_PMM_NC_3pmga PGM_PMM_NC_1kfqa
PH_1dro PH_1foea
Phage_F_1cd3f Phage_F_1gff1
Phage_G_1cd3g Phage_G_1gff2
Phage_integrase_1a0p Phage_integrase_4crxa
Phage_lysozyme_1l58 Phage_lysozyme_1k28a
PHBH_1foha PHBH_1pbe
phc_1phnb phc_1qgwc
phero_1erp phero_2erl
phosfruc_1pfka phosfruc_4pfk
phoslip_1bp2 phoslip_1bbc
phosphotriesterase_1psca phosphotriesterase_1bf6a
phs_1gpb phs_1ahpa
phycoerythr_ab_1qgwa phycoerythr_ab_1qgwb
pili_assembly_1qpxa pili_assembly_1bf8
pilin_1hpwa pilin_1dzoa
piplc_1gym piplc_2plc
PK_1a49a PK_1pkya
PKD_1ctn PKD_1b4ra
plantltp_1lip plantltp_1bwoa
planttoxin_1gps planttoxin_1myn
Plectin_1lm7a Plectin_1lm5a
PMSR_1ff3a PMSR_1fvga
pnp_1ecpa pnp_1ula
PNTB_1d4oa PNTB_1e3ta
porin_1pho porin_1prn
pot_1dwma pot_1csei
PotD_1a99a PotD_1pot
pou_1octc pou_1au7a
pp_1bba pp_1ron
pp-binding_2af8 pp-binding_1acp
ppase_2prd ppase_1wgja
PPDK_N_term_1kbla PPDK_N_term_1h6za
PPTA_1dcea PPTA_1ft1a
prc_1prc prc_1aij
prenyltrans_1ft1b prenyltrans_2sqca
Prismane_1gnla Prismane_1gnta
PRK_1esma PRK_1a7j
pro_aminopeptidase_1qtra pro_aminopeptidase_1azwa
Pro_CA_1ddza2 Pro_CA_1ekja
profilin_1acf profilin_1awia
Propep_M14_1pca Propep_M14_1nsa
proteasome_1rypb proteasome_1ryp2
protg_1pgx protg_2ptl
prt_1hmpa prt_1nula
psaA_psaB_1jb0a psaA_psaB_1jb0b
PSI_PsaE_1jb0e PSI_PsaE_1psf
PTB_1shca PTB_1aqca
ptpase_1yfoa ptpase_1bzha
PTS_EIIA_2_1a3aa PTS_EIIA_2_1a6ja
PX_1gd5a PX_1h6ha
PyrI_1d09b PyrI_2atcb
PyrI_NC_1d09b PyrI_NC_2atcb
Pyridox_oxidase_1dnla Pyridox_oxidase_1ci0a
QRPTase_1qpoa QRPTase_1qapa
RA_1lfda RA_1rlf
Ran_BP1_1k5db Ran_BP1_1rrpb
rasgap_1wer rasgap_1nf1a
recA_2reb recA_1g19a
recA_C_1g19a recA_C_2reb
recA_N_1g19a recA_N_2reb
Recep_L_domain_1igra1 Recep_L_domain_1igra2
recombinase_1hcra recombinase_1tc3c
reductases_2cnd reductases_1qfja
rep_1r69 rep_1lmb3
response_reg_1kgsa response_reg_1dcf
RGS_1cmza RGS_1dk8a
RHD_1a3qa RHD_1nfka
Rho_GDI_1rhoa Rho_GDI_1ds6b
Rhodanese_1e0ca1 Rhodanese_1rhs2
RhoGAP_1tx4a RhoGAP_1pbwa
RhoGEF_1dbh RhoGEF_1by1a
rhv_1tme rhv_2plv
Rib_hydrolayse_1isia Rib_hydrolayse_1lbea
ribokinase_1bx4a ribokinase_1rkd
Ribonuclease_P_1a6f Ribonuclease_P_1d6ta
ribonuclease_T2_1bk7a ribonuclease_T2_1bola
Ribosomal_L1_1cjsa Ribosomal_L1_487dh
Ribosomal_L11_1qa6a Ribosomal_L11_1mmsa
Ribosomal_L12_1dd3a Ribosomal_L12_1ctf
Ribosomal_L14_1whi Ribosomal_L14_1jj2j
Ribosomal_L18p_1jj2m Ribosomal_L18p_1ilya
Ribosomal_L2_1rl2a Ribosomal_L2_1jj2a
Ribosomal_L22_1bxe Ribosomal_L22_1jj2q
Ribosomal_L2_C_1rl2a Ribosomal_L2_C_1jj2a
Ribosomal_L2_N_1rl2a Ribosomal_L2_N_1jj2a
Ribosomal_L30_1bxya Ribosomal_L30_1jj2v
Ribosomal_L4_1dmga Ribosomal_L4_1jj2c
Ribosomal_L5_NC_1iq4a Ribosomal_L5_NC_1jj2d
Ribosomal_L6_1rl6a Ribosomal_L6_1jj2e
Ribosomal_L6_D_1jj2e1 Ribosomal_L6_D_1rl6a2
Ribosomal_L7Ae_1jj2f Ribosomal_L7Ae_1cn9a
Ribosomal_S15_1a32 Ribosomal_S15_1ab3
Ribosomal_S30AE_1imua Ribosomal_S30AE_1l4sa
Ribosomal_S5_1fjge Ribosomal_S5_1pkp
Ribosomal_S5_C_1fjge Ribosomal_S5_C_1pkp
Ribosomal_S5_N_1fjge Ribosomal_S5_N_1pkp
Ribosomal_S7_1rss Ribosomal_S7_1hus
Ribosomal_S8_1seia Ribosomal_S8_1an7a
ricin_1apa ricin_1cf5a
Ricin_B_lectin_2aaib Ricin_B_lectin_1abrb
RING_1chc RING_1rmd
RNA_dep_RNA_pol_1khva RNA_dep_RNA_pol_1rdr
RNA_pol_A_bac_1bdfa RNA_pol_A_bac_1i6va
RNA_pol_A_CTD_1doqa RNA_pol_A_CTD_1coo
RNA_pol_H_1dzfa RNA_pol_H_1eika
RNA_pol_K_1i50f RNA_pol_K_1qkla
RNA_pol_N_1i50j RNA_pol_N_1ef4a
rnase_1rds rnase_1bu4
RNase_HII_1io2a RNase_HII_1ekea
RNase_U2_1aqza RNase_U2_1de3a
rnasemam_7rsa rnasemam_1bc4
rnh_1ril rnh_1hrha
rnr_1xika rnr_1r2fa
Rop_1f4na Rop_1rpo
Rotamase_1pina Rotamase_1eq3a
RRF_1dd5a RRF_1ge9a
rrm_1jmta rrm_1u2fa
RrnaAD_2erca RrnaAD_1yub
rub_1rb9 rub_6rxn
RuBisCO_large_1gk8a RuBisCO_large_5ruba
RuBisCO_large_N_1rbla RuBisCO_large_N_5ruba
RuBisCO_large_NC_1gk8a RuBisCO_large_NC_5ruba
RuBisCO_small_1bxni RuBisCO_small_1rblm
RuvA_1cuk RuvA_1bvsf
rvintegrase_1vsd rvintegrase_1biza
rvp_1ytia rvp_2fmb
rvt_1vrta rvt_1mml
S-AdoMet_synt_1mxb S-AdoMet_synt_1qm4a
S-AdoMet_synt_NC_1mxb S-AdoMet_synt_NC_1qm4a
S-AdoMet_syntD2_1mxb S-AdoMet_syntD2_1qm4a
S-AdoMet_syntD3_1mxb S-AdoMet_syntD3_1qm4a
S1_1sro S1_1ah9
S4_1c06a S4_1dm9a
S_100_1cb1 S_100_1psra
S_T_dehydratase_1tdj S_T_dehydratase_2tysb
SAICAR_synt_1kuta SAICAR_synt_1a48
SAM_1b4fa SAM_1b0xa
SAM_decarbox_1i7bb SAM_decarbox_1mhmb
SAM_PNT_1lkya SAM_PNT_1bqv
SAP_1h1js SAP_1kcfa
SBP_bacterial_1_1d9ya SBP_bacterial_1_1anf
scorptoxin_1vna scorptoxin_1bmr
SCP_1cfe SCP_1qnxa
SCP2_1c44a SCP2_1ikta
sdr_1fmca sdr_1dhr
seatoxin_1apf seatoxin_1bds
Sec1_1epua Sec1_1dn1a
Sec23_NC_1m2oa Sec23_NC_1m2vb
Sec7_1bc9 Sec7_1pbv
Seedstore_7s_2cav Seedstore_7s_2phla
serbact_2sfa serbact_2alp
sermam_1bbr sermam_1sgt
serpin_2ach serpin_1sek
SET_1mvha SET_1ml9a
sh2_3hck sh2_1zfpe
sh3_1awj sh3_1bb9
SHMT_1dfoa SHMT_1bj4a
sialidase_N_1kit1 sialidase_N_1kit2
sigma54_1fipa sigma54_1ntca
SIR2_1j8fa SIR2_1icia
SIS_1moq1 SIS_1moq2
SKI_1shka SKI_1kaga
Skp1_1fs1b Skp1_1vcbb
slectin_1hlca slectin_1a3k
SLT_1qsaa SLT_154l
SLT_beta_1c4qa SLT_beta_2bosa
Sm_1d3bb Sm_1d3ba
SNAP-25_1kild SNAP-25_1l4ad
sodcu_1cbja sodcu_1bzoa
sodfe_1ar5a sodfe_1sssa
SPEC_2spca SPEC_1aj3
Spermine_synth_1inla Spermine_synth_1mjfa
spidertoxin_1iva spidertoxin_1oma
SpoU_methylase_1gz0a SpoU_methylase_1ipaa
SpoU_methylase_C_1gz0a SpoU_methylase_C_1ipaa
SpoU_methylase_N_1gz0a SpoU_methylase_N_1ipaa
squash_2eti squash_4cpai
SRF-TF_1srsa SRF-TF_1egwa
SRP19_1kvva SRP19_1jida
SRP54_1fts SRP54_1ffh
SRP54M_2ffha SRP54M_1qb2a
SSB_1kawa SSB_3ulla
Stap_Strp_toxin_3seb Stap_Strp_toxin_3tss
Staphylokinase_2sak Staphylokinase_1qqra
START_1jssa START_1em2a
STAS_1h4xa STAS_1buz
STAT_1bg1a STAT_1bf5a
sti_1tie sti_4wbca
stpp_1fjma stpp_1tcoa
Sua5_yciO_yrdC_1hrua Sua5_yciO_yrdC_1jcua
subt_1gt91 subt_1ic6a
sugbp_2dri sugbp_1rpja
SUI1_2if1 SUI1_1d1ra
Sulfatase_1auk Sulfatase_1fsu
Sulfotransfer_1cjma Sulfotransfer_1nsta
svmp_1atla svmp_1buda
Syntaxin_1ez3a Syntaxin_1fioa
T-box_1xbra T-box_1h6fa
taf_1tafa taf_1tafb
Tautomerase_1otfa Tautomerase_1bjpa
TBCA_1qsda TBCA_1h7ca
tbpc_1voka tbpc_1aisa
tcl1_mtcp1_1jsg tcl1_mtcp1_1a1x
Terpene_synth_C_1n1ba Terpene_synth_C_5eau
Terpene_synth_N_1n1ba Terpene_synth_N_5eau
Terpene_synth_NC_1n1ba Terpene_synth_NC_5eau
tetR_1jt6a tetR_2tct
TFIIS_1tfi TFIIS_1qyp
tgfb_1nyud tgfb_1agqa
TGT_1k4ga TGT_1iq8a
THAUMATIN_1aun THAUMATIN_1thw
THF_DHG_CYH_1a4ia THF_DHG_CYH_1b0aa
Thioesterase_1keza Thioesterase_1jmkc
thiolase_1afwa thiolase_1kas
thionin_1bhp thionin_1cbn
thiored_1aaza thiored_3grx
Thr_dehydrat_C_1tdj1 Thr_dehydrat_C_1tdj2
thymid_phosphorylase_2tpt thymid_phosphorylase_1brwa
TIG_1d3ca TIG_1qhpa
TIL_1ccva TIL_1coua
tim_1amk tim_1tcda
TIMP_1br9 TIMP_1ueab
TIR_1fywa TIR_1fyva
tln_1npc tln_1bqba
TmpK_1tmka TmpK_4tmka
tms_4tms tms_1bkpa
TMV_coat_1vtmp TMV_coat_1cgme
TNF_4tsva TNF_1aly
TNFR_c6_1du3a TNFR_c6_1exta
TonB_dep_Rec_1fepa TonB_dep_Rec_1by5a
Topoisom_bac_1cy9a Topoisom_bac_1i7da
Topoisomerase_I_1a35a Topoisomerase_I_1ois
Topoisomerase_I_core_1a31a Topoisomerase_I_core_1a41
Toprim_1d6ma Toprim_1dd9a
toxin_1kbt toxin_1fas
toxin_2_1quza toxin_2_1chl
TPK_1ig3a TPK_1ig0a
TPK_B1_binding_1ig3a TPK_B1_binding_1ig0a
TPK_catalytic_1ig3a TPK_catalytic_1ig0a
TPR_1a17 TPR_1ihga
trans_reg_C_1opc trans_reg_C_1qqia
Transaldolase_1onra Transaldolase_1f05a
transcript_fac2_1aisb transcript_fac2_1vola
Transglut_core_1evua Transglut_core_1g0da
Transglutamin_C_1f13a1 Transglutamin_C_1f13a2
Transglutamin_N_1evua Transglutamin_N_1g0da
Transglutamin_NC_1evua Transglutamin_NC_1g0da
transket_pyr_1dtwb transket_pyr_1trka
transketolase_1trka transketolase_1l8aa
transketolase_C_1dtwb transketolase_C_1trka
transketolase_PC_1dtwb transketolase_PC_1trka
Transpeptidase_1k25a Transpeptidase_1qmea
TRANSTHYRETIN_1gkea TRANSTHYRETIN_1tfpa
trfl_1dsn trfl_1ce2a
TrkA-N_1lnqa TrkA-N_1id1a
tRNA-synt_1_1qu2a tRNA-synt_1_1a8h
tRNA-synt_1_edit_1ile tRNA-synt_1_edit_1qu2a
tRNA-synt_1b_2ts1 tRNA-synt_1b_1d2ra
tRNA-synt_1c_1qtqa tRNA-synt_1c_1gln
tRNA-synt_1d_1f7ua tRNA-synt_1d_1iq0a
tRNA-synt_1d_C_1f7ua tRNA-synt_1d_C_1iq0a
tRNA-synt_1d_M_1f7ua tRNA-synt_1d_M_1iq0a
tRNA-synt_1d_N_1f7ua tRNA-synt_1d_N_1iq0a
tRNA-synt_2b_1kmma tRNA-synt_2b_1atia
tRNA-synt_2d_1pysa tRNA-synt_2d_1pysb
tRNA_bind_1b7yb tRNA_bind_1fl0a
trp_syntA_1qopa trp_syntA_1geqa
TrpBP_1c9sa TrpBP_1wapa
tryp_alpha_amyl_1hssa tryp_alpha_amyl_1b1u
Trypan_glycop_2vsga Trypan_glycop_1vsga
tubulin_1tuba tubulin_1tubb
Tymo_coat_1qjza Tymo_coat_1auya
TyrKc_1vr2a TyrKc_1ir3a
tyrosinase_1bt3a tyrosinase_1js8a
UBQ_1ubq UBQ_1bt0a
UBX_1h8ca UBX_1i42a
uce_1jatb uce_1c4zd
UCH_1cmxa UCH_1uch
UCR_14kD_1bgyf UCR_14kD_1ezvf
UCR_TM_1bcce UCR_TM_1ezve
UcrQ_1bgyg UcrQ_1ezvg
ung_1akz ung_1uuga
UPF0033_1dcja UPF0033_1jdqa
UPF0044_1jo0a UPF0044_1ln4a
UPF0076_1qu9a UPF0076_1jd1a
UPP_synthetase_1jp3a UPP_synthetase_1f75a
urease_2kauc urease_1ubpc
Urease_beta_2kaub Urease_beta_1ubpb
urease_gamma_2kaua urease_gamma_1ubpa
UreE_1gmwa UreE_1eb0a
Uricase_1uox1 Uricase_1uox2
URO-D_1j93a URO-D_1uroa
Usp_1jmva Usp_1mjha
utg_1utg utg_1ccd
UvrD-helicase_1uaaa UvrD-helicase_1pjr
VAT-N_1cz5a VAT-N_1e32a
VAT-Nc_1cz5a VAT-Nc_1e32a
VAT-Nn_1cz5a VAT-Nn_1e32a
VHS_1elka VHS_1dvpa
voltage_CLC_1kpka voltage_CLC_1kpla
VPR_1vpc VPR_1ceua
vprotease_1wyka vprotease_1vcpa
WD40_1gotb WD40_1erja
WH1_1qc6a WH1_1evha
WHEP-TRS_1r1ba WHEP-TRS_1fyja
WW_1i5hw WW_1eg4a
xia_1dxia xia_1bxba
XPG_C_1b43a XPG_C_1a77
XPG_NC_1b43a XPG_NC_1a77
XPG_NI_1b43a XPG_NI_1a77
Yers_vir_YopE_1hy5a Yers_vir_YopE_1he1a
YgbB_1jn1a YgbB_1iv3a
zf-CCHC_1ncpn zf-CCHC_1ncpc
zf-CCHH_1zaa1 zf-CCHH_1znm
zf-TAZ_1f81a zf-TAZ_1l8ca
Zn_dep_PLPC_1ca1 Zn_dep_PLPC_1ah7
